TRANSACTION_ID/SOL/BONKEY,TRANSACTION_TIME0RPA_ETS2,SALESORG0SALESORG,TRANSACTION_DATE0CALDAY,DISTR_CHAN0DISTR_CHAN,ARTICLE_ID0MATERIAL,LOCATION_ID0PLANT,TRANSACTION_TYPE0RPA_TTC,ARTICLE_COUNT0RPA_RLQ,SALES_PRICE_AT_CASH_DESK0RPA_SAT,SALES_PRICE_PLANNED/SOL/LOC0086C,VAT0RPA_TAM
0002021040620240000000061,121315,1099,20210406,13,000000002062042026,2024,1005,1.000 ,10.49 ,13.99 ,0.00 
0002021040620330000000002,090059,1099,20210406,13,000000002058814001,2033,1005,1.000 ,25.81 ,25.99 ,0.00 
0002021040620390000000170,184446,1099,20210406,13,000000001259021005,2039,1001,1.000 ,47.99 ,59.99 ,9.58 
0002021040620400000000013,085239,1099,20210406,13,000000002060992002,2040,1005,1.000 ,59.99 ,59.99 ,0.00 
0002021040620520000000045,125059,1099,20210406,13,000000002058855023,2052,1005,1.000 ,15.53 ,19.99 ,0.00 
0002021040620550000000035,122126,1099,20210406,13,000000002063182029,2055,1005,1.000 ,22.31 ,29.98 ,0.00 
0002021040620700000000004,085842,1099,20210406,13,000000002100835009,2070,1005,1.000 ,67.49 ,89.99 ,0.00 
0002021040620700000000179,160301,1099,20210406,13,000000006002412003,2070,1001,1.000 ,6.00 ,7.99 ,0.96 
0002021040620710000000177,155052,1099,20210406,13,000000002023927022,2071,1005,1.000 ,44.99 ,59.99 ,0.00 
0002021040620910000000183,143836,1099,20210406,13,000000002058013008,2091,1005,1.000 ,11.99 ,15.99 ,0.00 
0002021040620950000000009,123356,1099,20210406,13,000000002102234003,2095,1005,1.000 ,36.61 ,49.99 ,0.00 
0002021040621000000000026,125146,1099,20210406,13,000000002058298012,2100,1005,1.000 ,36.79 ,45.99 ,0.00 
0002021040621110000000029,121937,1099,20210406,13,000000002053723040,2111,1001,1.000 ,143.99 ,179.99 ,22.99 
0002021040621110000000092,135839,1099,20210406,13,000000002057272025,2111,1005,1.000 ,69.99 ,69.99 ,0.00 
0002021040621400000000040,132854,1099,20210406,13,000000002057223126,2140,1001,1.000 ,39.99 ,49.99 ,6.39 
0002021040622310000000028,122039,2010,20210406,13,000000002058991004,2231,1001,1.000 ,31.99 ,39.99 ,5.33 
0002021040622310000000037,135157,2010,20210406,13,000000002064631012,2231,1001,1.000 ,37.49 ,49.99 ,6.25 
0002021040660970000000003,083912,1099,20210406,13,000000002059853002,6097,1005,1.000 ,23.64 ,29.99 ,0.00 
0002021040660970000000041,103208,1099,20210406,13,000000002060361002,6097,1005,1.000 ,11.99 ,15.99 ,0.00 
0002021040660970000000073,115836,1099,20210406,13,000000002058095002,6097,1005,1.000 ,25.19 ,35.99 ,0.00 
0002021040672720000000012,105801,2010,20210406,13,000000000000050080,7272,1001,1.000 ,0.15 ,0.15 ,0.03 
0002021040678200000000011,111232,1120,20210406,13,000000002065012016,7820,1001,1.000 ,31.99 ,39.99 ,5.11 
0002021040720240000000080,140331,1099,20210407,13,000000000000050080,2024,1001,1.000 ,0.15 ,0.15 ,0.02 
0002021040720490000000097,154929,1099,20210407,13,000000002064331009,2049,1001,1.000 ,47.99 ,59.99 ,7.66 
0002021040720720000000084,164627,1099,20210407,13,000000001277522011,2072,1001,1.000 ,29.99 ,29.99 ,4.79 
0002021040721110000000087,153203,1099,20210407,13,000000002065012011,2111,1001,1.000 ,31.99 ,39.99 ,5.11 
0002021040721110000000108,164952,1099,20210407,13,000000002060905017,2111,1001,1.000 ,10.39 ,12.99 ,1.66 
0002021040721110000000123,170215,1099,20210407,13,000000002064067004,2111,1005,1.000 ,67.49 ,89.99 ,0.00 
0002021040721190000000001,091943,1099,20210407,13,000000002064067006,2119,1005,1.000 ,80.09 ,89.99 ,0.00 
0002021040721190000000170,183015,1099,20210407,13,000000002062991009,2119,1005,1.000 ,19.99 ,19.99 ,0.00 
0002021040721790000000017,104402,2010,20210407,13,000000002064686002,2179,1001,1.000 ,39.99 ,49.99 ,6.67 
0002021040722000000000099,164542,2010,20210407,13,000000002060912011,2200,1001,1.000 ,39.99 ,49.99 ,6.67 
0002021040722230000000007,124403,2010,20210407,13,000000002057547009,2223,1001,1.000 ,14.82 ,29.99 ,2.47 
0002021040722300000000029,123500,2010,20210407,13,000000002063808048,2230,1001,1.000 ,39.99 ,49.99 ,6.67 
0002021040722300000000029,123500,2010,20210407,13,000000002064688003,2230,1001,1.000 ,31.99 ,39.99 ,5.33 
0002021040722310000000029,132813,2010,20210407,13,000000002060912002,2231,1001,1.000 ,39.99 ,49.99 ,6.67 
0002021040722320000000034,183745,2010,20210407,13,000000002059512014,2232,1001,1.000 ,63.99 ,79.99 ,10.67 
0002021040740210000000030,134544,1099,20210407,13,000000002059195029,4021,1001,1.000 ,15.99 ,19.99 ,2.55 
0002021040741580000000024,152817,2010,20210407,13,000000002061409020,4158,1001,1.000 ,20.80 ,25.99 ,3.47 
0002021040761250000000093,162404,2010,20210407,13,000000002100555012,6125,1001,1.000 ,47.99 ,59.99 ,8.00 
0002021040761260000000033,123401,2010,20210407,13,000000002100981011,6126,1001,1.000 ,31.99 ,39.99 ,5.33 
0002021040763390000000023,132239,1099,20210407,13,000000002060637012,6339,1001,1.000 ,55.99 ,69.99 ,11.17 
0002021040773370000000046,141517,1099,20210407,13,000000002061588001,7337,1001,1.000 ,19.49 ,25.99 ,3.11 
0002021040820240000000081,144559,1099,20210408,13,000000000000050080,2024,1001,1.000 ,0.15 ,0.15 ,0.02 
0002021040820390000000085,144930,1099,20210408,13,000000001277341030,2039,1001,1.000 ,47.99 ,59.99 ,7.66 
0002021040820400000000032,121727,1099,20210408,13,000000002058196004,2040,1001,1.000 ,31.99 ,39.99 ,5.11 
0002021040820710000000029,115348,1099,20210408,13,000000002058827004,2071,1001,1.000 ,39.99 ,49.99 ,6.38 
0002021040820720000000012,105202,1099,20210408,13,000000000000050080,2072,1001,1.000 ,0.15 ,0.15 ,0.02 
0002021040820720000000045,133454,1099,20210408,13,000000001277371032,2072,1001,1.000 ,37.49 ,49.99 ,7.98 
0002021040821400000000013,111822,1099,20210408,13,000000002061192013,2140,1005,1.000 ,44.99 ,59.99 ,0.00 
0002021040821400000000084,150348,1099,20210408,13,000000001258991013,2140,1001,1.000 ,74.99 ,99.99 ,11.97 
0002021040840180000000001,133019,1099,20210408,13,000000002060896042,4018,1005,1.000 ,37.49 ,49.99 ,0.00 
0002021040844050000000043,120428,2010,20210408,13,000000002061351013,4405,1001,1.000 ,55.99 ,69.99 ,9.33 
0002021040860970000000050,125019,1099,20210408,13,000000002054443005,6097,1005,1.000 ,31.94 ,39.99 ,0.00 
0002021040861250000000066,173920,2010,20210408,13,000000001142388012,6125,1001,1.000 ,7.96 ,9.95 ,1.33 
0002021040876780000000010,164821,1099,20210408,13,000000002060841020,7678,1001,1.000 ,15.80 ,19.99 ,4.79 
0002021040876850000000066,185440,2010,20210408,13,000000002065889010,7685,1001,1.000 ,52.50 ,69.99 ,8.75 
0002021040877900000000040,132327,1120,20210408,13,000000002061580002,7790,1001,1.000 ,18.39 ,22.99 ,2.94 
0002021040878000000000012,105504,1120,20210408,13,000000002061409020,7800,1001,1.000 ,20.80 ,25.99 ,3.32 
0002021040878000000000072,152344,1120,20210408,13,000000002040829005,7800,1001,1.000 ,20.80 ,25.99 ,3.32 
0002021040878140000000006,122553,1120,20210408,13,000000000000050080,7814,1001,1.000 ,0.15 ,0.15 ,0.00 
0002021040878180000000031,133102,1120,20210408,13,000000002100090014,7818,1001,1.000 ,31.99 ,39.99 ,5.11 
0002021040620240000000014,112706,1099,20210406,13,000000002059079024,2024,1001,1.000 ,15.99 ,19.99 ,2.55 
0002021040620240000000017,113748,1099,20210406,13,000000002060851003,2024,1001,2.000 ,20.79 ,25.98 ,3.32 
0002021040620240000000114,143902,1099,20210406,13,000000002058731016,2024,1001,1.000 ,12.79 ,15.99 ,2.04 
0002021040620240000000147,174103,1099,20210406,13,000000000000050080,2024,1001,1.000 ,0.15 ,0.15 ,0.02 
0002021040620400000000016,091032,1099,20210406,13,000000002062071001,2040,1005,1.000 ,19.49 ,25.99 ,0.00 
0002021040620480000000011,093142,1099,20210406,13,000000001248358003,2048,1005,1.000 ,22.05 ,29.99 ,0.00 
0002021040620480000000013,093925,1099,20210406,13,000000002063756016,2048,1005,1.000 ,39.99 ,39.99 ,0.00 
0002021040620480000000068,133339,1099,20210406,13,000000002060852022,2048,1001,1.000 ,12.79 ,15.99 ,2.04 
0002021040620490000000132,150052,1099,20210406,13,000000002040666048,2049,1001,1.000 ,29.99 ,29.99 ,4.79 
